Personal Expense,Company Policy,Expense Type,Transaction Date,Payment Type,Business Purpose,Amount,Date Range,Vendor
Yes,Violation - Alcohol Purchase,Transport,2025-07-19,Out - of - pocket,Team outing,4906,2025-07-19 to 2025-07-19,Vendor_fc3050ba
No,Within Policy,Miscellaneous,2025-07-02,Out - of - pocket,Team outing,883,2025-07-02 to 2025-07-02,Vendor_ae1fdc24
Yes,Within Policy,Snacks,2025-07-15,Company Paid,Training session,2253,2025-07-15 to 2025-07-18,Vendor_6b935c5f
Yes,Violation - Alcohol Purchase,Dinner,2025-07-20,IBCP,Client meeting travel,69,2025-07-20 to 2025-07-23,Vendor_53d6e72d
No,Violation - Over Limit,Entertainment,2025-07-13,IBCP,Training session,3556,2025-07-13 to 2025-07-15,Vendor_fb08a970
Yes,Violation - Over Limit,Snacks,2025-07-29,Company Paid,Business snacks,4903,2025-07-29 to 2025-08-01,Vendor_0935acf2
Yes,Violation - Over Limit,Office Supplies / Softwares,2025-07-11,Out - of - pocket,Misc work expense,4058,2025-07-11 to 2025-07-11,Vendor_23f1c1ee
No,Violation - Alcohol Purchase,Entertainment,2025-07-28,Company Paid,Training session,1885,2025-07-28 to 2025-07-29,Vendor_3c23a7ce
No,Violation - Alcohol Purchase,Training,2025-07-31,Company Paid,Training session,1242,2025-07-31 to 2025-08-01,Vendor_c987eb38
No,Violation - Over Limit,Travel,2025-07-11,Out - of - pocket,Team dinner,4594,2025-07-11 to 2025-07-13,Vendor_68650563
No,Violation - Alcohol Purchase,Hotel,2025-07-26,IBCP,Training session,606,2025-07-26 to 2025-07-26,Vendor_0f4732d4
No,Violation - Alcohol Purchase,Entertainment,2025-07-14,Out - of - pocket,Client meeting travel,551,2025-07-14 to 2025-07-14,Vendor_6891d044
Yes,Within Policy,Miscellaneous,2025-07-19,IBCP,Client meeting travel,201,2025-07-19 to 2025-07-22,Vendor_68890e6c
No,Violation - Over Limit,Transport,2025-07-21,Company Paid,Team outing,211,2025-07-21 to 2025-07-24,Vendor_b1468558
No,Violation - Over Limit,Travel,2025-07-19,Out - of - pocket,Misc work expense,2490,2025-07-19 to 2025-07-19,Vendor_bedb022f
No,Within Policy,Travel,2025-07-18,Out - of - pocket,Business snacks,4241,2025-07-18 to 2025-07-19,Vendor_71f8d4a4
Yes,Violation - Over Limit,Entertainment,2025-07-28,Company Paid,Local commute,4140,2025-07-28 to 2025-07-30,Vendor_49a2d77d
No,Violation - Over Limit,Snacks,2025-07-06,IBCP,Business snacks,3891,2025-07-06 to 2025-07-07,Vendor_d22652e8
No,Within Policy,Training,2025-07-16,Out - of - pocket,Team outing,3941,2025-07-16 to 2025-07-18,Vendor_10c0599b
No,Violation - Over Limit,Hotel,2025-07-10,IBCP,Team outing,1325,2025-07-10 to 2025-07-11,Vendor_b1843c57
Yes,Violation - Over Limit,Hotel,2025-07-25,Out - of - pocket,Conference accommodation,4091,2025-07-25 to 2025-07-28,Vendor_d11e19e1
No,Violation - Over Limit,Conference,2025-07-02,Company Paid,Team dinner,3915,2025-07-02 to 2025-07-03,Vendor_5079fe33
No,Violation - Alcohol Purchase,Conference,2025-07-07,IBCP,Team dinner,2427,2025-07-07 to 2025-07-07,Vendor_fb4c7635
No,Within Policy,Office Supplies / Softwares,2025-07-30,Out - of - pocket,Business snacks,1820,2025-07-30 to 2025-07-30,Vendor_89a8cddc
No,Within Policy,Travel,2025-07-05,Out - of - pocket,Office stationery,4214,2025-07-05 to 2025-07-07,Vendor_98f80269
Yes,Violation - Alcohol Purchase,Snacks,2025-07-18,IBCP,Misc work expense,4669,2025-07-18 to 2025-07-21,Vendor_50f59b41
Yes,Within Policy,Miscellaneous,2025-07-07,Out - of - pocket,Team outing,1796,2025-07-07 to 2025-07-10,Vendor_6abedf47
No,Within Policy,Snacks,2025-07-16,Company Paid,Misc work expense,4393,2025-07-16 to 2025-07-16,Vendor_d35fe78b
Yes,Within Policy,Entertainment,2025-07-28,Out - of - pocket,Team dinner,3808,2025-07-28 to 2025-07-31,Vendor_9938cc6a
Yes,Violation - Alcohol Purchase,Office Supplies / Softwares,2025-07-31,Out - of - pocket,Conference accommodation,1738,2025-07-31 to 2025-07-31,Vendor_5461ceaf
Yes,Violation - Alcohol Purchase,Office Supplies / Softwares,2025-07-27,IBCP,Team dinner,479,2025-07-27 to 2025-07-29,Vendor_7619ec9e
Yes,Violation - Alcohol Purchase,Transport,2025-07-28,Company Paid,Misc work expense,3256,2025-07-28 to 2025-07-30,Vendor_dc44a67f
No,Violation - Over Limit,Entertainment,2025-07-13,Company Paid,Local commute,4479,2025-07-13 to 2025-07-13,Vendor_e64c899d
No,Violation - Over Limit,Snacks,2025-07-12,Out - of - pocket,Business snacks,3651,2025-07-12 to 2025-07-12,Vendor_34ea5685
No,Within Policy,Hotel,2025-07-18,IBCP,Training session,4422,2025-07-18 to 2025-07-19,Vendor_ec52f088
Yes,Within Policy,Entertainment,2025-07-11,Company Paid,Client meeting travel,4494,2025-07-11 to 2025-07-12,Vendor_8836e0cf
No,Within Policy,Training,2025-07-05,Company Paid,Business snacks,1408,2025-07-05 to 2025-07-07,Vendor_f55fc89b
Yes,Within Policy,Dinner,2025-07-19,Out - of - pocket,Local commute,3593,2025-07-19 to 2025-07-22,Vendor_21f2a3dc
No,Violation - Alcohol Purchase,Entertainment,2025-07-04,IBCP,Conference accommodation,1513,2025-07-04 to 2025-07-06,Vendor_c56008f7
Yes,Within Policy,Office Supplies / Softwares,2025-07-01,Out - of - pocket,Office stationery,339,2025-07-01 to 2025-07-04,Vendor_ef89fabf
Yes,Violation - Over Limit,Dinner,2025-07-10,Out - of - pocket,Local commute,4130,2025-07-10 to 2025-07-13,Vendor_ecfebe1a
No,Violation - Over Limit,Conference,2025-07-01,IBCP,Training session,4619,2025-07-01 to 2025-07-03,Vendor_4e8bdd32
No,Violation - Alcohol Purchase,Snacks,2025-07-30,Company Paid,Local commute,2352,2025-07-30 to 2025-07-30,Vendor_441f626d
No,Violation - Alcohol Purchase,Hotel,2025-07-14,Company Paid,Team dinner,724,2025-07-14 to 2025-07-15,Vendor_e713099f
No,Violation - Over Limit,Transport,2025-07-02,Out - of - pocket,Misc work expense,4007,2025-07-02 to 2025-07-03,Vendor_9d73df92
Yes,Violation - Alcohol Purchase,Miscellaneous,2025-07-01,Out - of - pocket,Local commute,4110,2025-07-01 to 2025-07-04,Vendor_56a2d4f5
Yes,Violation - Alcohol Purchase,Dinner,2025-07-23,Company Paid,Business snacks,2278,2025-07-23 to 2025-07-25,Vendor_ab49f317
No,Within Policy,Hotel,2025-07-18,IBCP,Training session,432,2025-07-18 to 2025-07-21,Vendor_8fe9153b
No,Within Policy,Miscellaneous,2025-07-29,IBCP,Training session,4262,2025-07-29 to 2025-08-01,Vendor_41b2be45
No,Violation - Alcohol Purchase,Miscellaneous,2025-07-12,IBCP,Misc work expense,1436,2025-07-12 to 2025-07-13,Vendor_9cdf701b
